u,g,r,i,z,Teff,FeH
18.90937,16.83193,15.95793,15.65468,15.4663,4775,-0.12
18.90126,17.95893,17.61241,17.49408,17.44733,5790,-0.65
19.80283,18.85205,18.4824,18.33466,18.26783,6000,-1.5
17.76639,17.9929,18.42555,18.81839,19.12274,9500,-2.5
19.92352,19.54675,19.91483,20.12691,20.34719,9000,-2.5
18.90089,17.83233,17.72609,17.73185,17.77564,6808,-1.24
18.77223,17.68405,17.27283,17.11991,17.03873,5613,-0.94
18.22964,17.26886,17.07396,17.01511,16.99077,6162,-2.26
20.12108,19.24773,18.98069,18.85244,18.84938,6000,0
18.1877,17.27729,17.13501,17.09848,17.0987,6162,-2.26
19.02065,18.06718,17.79673,17.64153,17.74636,5949,-1.7
18.78345,17.657,17.2889,17.16299,17.12716,5704,-0.74
22.01167,19.22687,18.05193,17.62726,17.16069,4382,-0.28
21.34355,18.53376,17.05216,16.29823,15.90835,3858,-0.06
17.73136,16.74363,16.44948,16.33557,16.30813,6000,-2
19.71458,18.69906,18.55162,18.50591,18.55531,7000,-2
17.1477,16.22602,15.95482,15.86564,15.82776,6000,-2
16.33291,15.45807,15.18676,15.11253,15.0883,6000,-2.5
18.8957,17.94676,17.63062,17.50597,17.4584,5952,-1.45
20.19409,19.24806,18.92909,18.8118,18.83224,6000,-1.5
18.74275,17.26978,16.62725,16.34429,16.21385,6275,-0.57
22.4147,21.85908,21.43992,20.39782,19.50966,3717,-0.2
18.261,17.1095,16.60116,16.39906,16.30808,6000,-2
17.27724,17.16069,17.53521,17.81269,18.04781,7652,0.06
18.57691,17.09036,16.87376,16.81978,16.76803,7500,-2
19.13264,17.85274,17.31403,17.08397,16.97328,6000,-1
18.82058,17.57324,17.00532,16.7718,16.61172,5613,-0.94
19.44095,18.30838,18.26834,18.29951,18.37789,7518,-0.3
18.06862,17.64849,17.93636,18.07474,18.33906,7652,0.06
21.56305,19.2012,17.76762,17.11802,16.75748,3962,-0.36
18.49726,17.37068,16.97899,16.84624,16.80118,5373,-1.08
18.75909,17.62951,17.23588,17.07592,17.06839,5890,-0.11
19.17664,18.8283,18.88975,18.99784,19.1014,7652,0.06
16.84267,15.38513,14.86922,14.71534,14.67066,5480,0.03
19.64516,18.46974,17.96894,17.93103,17.75591,5671,-0.18
17.72202,16.56575,16.15912,15.99926,15.95605,5720,-0.54
22.58308,20.19563,18.79206,18.19383,17.81592,3890,0.28
18.987,17.66152,17.23423,17.0581,16.97153,6000,-1
20.14039,19.02472,18.90889,18.94321,18.95576,7500,-1
22.08754,19.27412,17.8539,16.9868,16.50531,3980,-0.04
17.52233,16.29145,15.86183,15.70445,15.66254,5762,-0.42
18.93363,17.99365,17.64187,17.5026,17.4916,6000,-2
18.15352,17.08876,16.64293,16.45568,16.35603,6000,-1
